Date,Time,Tweet_Text
16-11-2004,16:26:19,RT @TeamTrump: Mrs. Sauciers son is in prison for having classified info on an unsecured device. @HillaryClinton did FAR WORSE & is running.
16-11-2004,16:17:22,"""The Clinton Campaign at Obama Justice"" #DrainTheSwamp"
16-11-2004,02:35:08,"There is no challenge too great, no dream outside of our reach! Thank you Selma, North Carolina!
#ICYMI, watch here_ https://t.co/8uIrhgYRsl"
16-11-2003,23:30:17,"RT @PaulaReidCBS: .@CBSNews confirms FBI found emails on #AnthonyWeiner computer, related to Hillary Clinton server, that are ""new"""
16-11-2003,21:28:01,"Join me in Wilmington, Ohio tomorrow at 4:00pm! It is time to #DrainTheSwamp!"
16-11-2003,20:52:52,"Thank you Concord, North Carolina! When WE win on November 8th, we are going to Washington, D.C. and we are going."
16-11-2003,19:25:37,"Watching my beautiful wife, Melania, speak about our love of country and family. We will make you all very proud."
16-11-2003,15:19:12,Looking at Air Force One @ MIA. Why is he campaigning instead of creating jobs &amp; fixing Obamacare? Get back to work for the American people!
16-11-2003,12:34:14,"ObamaCare is a total disaster. Hillary Clinton wants to save it by making it even more expensive. Doesnt work, I will REPEAL AND REPLACE!"
16-11-2003,12:27:27,"My wife, Melania, will be speaking in Pennsylvania this afternoon. So exciting, big crowds! I will be watching from North Carolina."
16-11-2003,03:55:49,Thank you Arlene! We will MAKE AMERICA SAFE AND GREAT AGAIN!
16-11-2003,03:44:39,RT @T_Lineberger: Thanks @IvankaTrump for coming to help win Michigan! More people here than a Hillary rally with less than 24 hours notice_
16-11-2002,21:30:24,"Thank you Orlando, Florida! We are just six days away from delivering justice for every forgotten man, woman."
16-11-2002,19:09:28,"After decades of lies and scandal, Crooked Hillarys corruption is closing in. "
16-11-2002,18:58:34,Clinton camp fumed when surrogate told supporters Clinton planned to betray labor on TPP post-election:
16-11-2002,18:57:07,"""It pays to have friends in high places- like the Justice Department. Clearly the Clintons do."""
16-11-2002,17:15:30,"Thank you Miami! In 6 days, we are going to WIN the GREAT STATE of FLORIDA - and we are going to win back the White"
16-11-2002,14:37:03,Praying for the families of the two Iowa police who were ambushed this morning. An attack on those who keep us safe is an attack on us all.
16-11-2002,12:47:48,"Crooked Hillary Clinton deleted 33,000 e-mails AFTER they were subpoenaed by the United States Congress. Guilty - cannot run. Rigged system!"
16-11-2002,11:00:30,"I am going to repeal and replace ObamaCare. We will have MUCH less expensive and MUCH better healthcare. With Hillary, costs will triple!"
16-11-2002,10:35:56,"You can change your vote in six states. So, now that you see that Hillary was a big mistake, change your vote to MAKE AMERICA GREAT AGAIN!"
16-11-2002,03:43:15,"Join me in Florida tomorrow!

MIAMIۢ12pm
https://t.co/A3X71Q6sG2

ORLANDOۢ4pm
https://t.co/6BqTVoty5C

PENSACOLAۢ7p_ https://t.co/kEQuuJeO1B"
16-11-2001,21:57:54,"WikiLeaks emails reveal Podesta urging Clinton camp to dump emails.
Time to #DrainTheSwamp!
https://t.co/P3ajiACiXK"
16-11-2001,21:46:18,Podesta urged Clinton team to hand over emails after use of private server emerged.
16-11-2001,21:28:55,Mika Brzezinski: Dem Criticism of Comey Reinforcing Idea There is Something There
16-11-2001,21:20:04,Hillary Advisers Wanted Her To Avoid Supporting Israel When Talking To Democrats.
16-11-2001,21:16:57,Trump promises special session to repeal Obamacare: 
16-11-2001,21:15:42,Kept me out of jail: Top DOJ official involved in Clinton probe represented her campaign chairman.
16-11-2001,18:44:44,.@DarrellIssa is a very good man. Help him win his congressional seat in California.
16-11-2001,17:24:18,"#ICYMI: Governor @mike_pence and I were in Valley Forge, Pennsylvania today. "
16-11-2001,14:14:09,"So terrible that Crooked didnt report she got the debate questions from Donna Brazile, if that were me it would have been front page news!"
16-11-2001,13:35:47,JOIN ME TOMORROW IN FLORIDA!
16-11-2001,12:01:11,"Crooked Hillary should not be allowed to run for president. She deleted 33,000 e-mails AFTER getting a subpoena from U.S. Congress. RIGGED!"
16-11-2001,11:55:47,"Wow, now leading in @ABC /@washingtonpost Poll 46 to 45. Gone up 12 points in two weeks, mostly before the Crooked Hillary blow-up!"
16-11-2001,10:31:46,Look at the way Crooked Hillary is handling the e-mail case and the total mess she is in. She is unfit to be president. Bad judgement!
16-10-1931,20:49:56,"Wow! I hear you Warren, Michigan. Streaming live - join us America. It is time to DRAIN THE SWAMP!"
16-10-1931,19:08:25,#ObamacareFail #HillarycareFail 
16-10-1931,19:00:42,"Thank you Grand Rapids, Michigan! "
16-10-1931,18:20:00,$25 Million+ raised online in just one week! RECORD WEEK. #DrainTheSwamp Today we set a bigger record. 
16-10-1931,16:38:13,"Legendary basketball coach Bobby Knight who has 900+ wins, many championships and a gold medal will be introducing."
16-10-1931,16:00:19,Hillarys Two Official Favors To Morocco Resulted In $28 Million For Clinton Foundation #DrainTheSwamp
16-10-1931,03:59:48,"Join me tomorrow in Michigan!

Grand Rapids at 12pm:
https://t.co/xFPRNF7pnF

Warren at 3pm:
https://t.co/DREwbH7ZVd https://t.co/iyXwiP0rvd"
16-10-1931,02:52:08,"Beautiful rally in Albuquerque, New Mexico this evening - thank you. Get out & VOTE! #DrainTheSwamp"
16-10-1930,23:23:26,"""@slh: I follow Mr.Trump at all of his rallies by watching them on https://t.co/biseaBESvS. He is a lion-hearted warrior, who inspires hope"
16-10-1930,23:19:09,"Thank you Greeley, CO! REAL change means restoring honesty to the govt. Our plan will END govt. corruption! "
16-10-1930,19:05:31,"Thank you Las Vegas, Nevada- I love you! Departing for Greeley, Colorado now. Get out &amp; VOTE! "
16-10-1930,17:58:52,See you tomorrow Michigan!
16-10-1930,14:26:30,"Wow, Twitter, Google and Facebook are burying the FBI criminal investigation of Clinton. Very dishonest media!"
16-10-1930,14:04:06,"Hillary and the Dems loved and praised FBI Director Comey just a few days ago. Original evidence was overwhelming, should not have delayed!"
16-10-1930,13:55:06,"We are now leading in many polls, and many of these were taken before the criminal investigation announcement on Friday - great in states!"
16-10-1930,01:36:25,"Great day in Colorado &amp; Arizona. Will be in Nevada, Colorado and New Mexico tomorrow - join me!
Tickets:_ https://t.co/vMPTsLXsCT"
16-10-1930,01:23:28,"THANK YOU Phoenix, Arizona! Time for new POWERFUL leadership. Just imagine what WE can accomplish in our first 100_ https://t.co/gqZLLxcenk"
16-10-2029,20:02:16,So nice - great Americans outside Trump Tower right now. Thank you!
16-10-2029,19:56:49,"Departing Golden, CO. for Arizona now - after an unbelievable rally. "
16-10-2029,15:37:26,"""@DeplorableCBTP: ""In my mind, #DonaldTrump is the only way out of this mess."" - #PhilRobertson of TVs #DuckDynasty""   Thank you Phil!"
16-10-2029,13:08:22,I am in Colorado - big day planned - but nothing can be as big as yesterday!
16-10-2029,04:11:17,"Join me in Colorado at 12pm tomorrow - or Arizona at 3pm!

TICKETS:
Golden: https://t.co/Eix7SspO2Z
Phoenix:_ https://t.co/pheYCksxq0"
16-10-2029,04:04:25,"Thank you Maine, New Hampshire and Iowa. The waiting is OVER! The time for change is NOW! "
16-10-2029,01:30:55,"""@piersmorgan: BOMBSHELL: FBI reopening its investigation into HillaryClintons email server after new discovery!"
16-10-2029,01:28:46,Just landed in Iowa - speaking soon!
16-10-2028,19:20:22,We must not let #CrookedHillary take her CRIMINAL SCHEME into the Oval Office. #DrainTheSwamp
16-10-2028,17:24:08,"Just out: Neera Tanden, Hillary Clinton adviser said, Israel is depressing.۝ I think Israel is inspiring!"
16-10-2028,17:23:39,RT @DRUDGE_REPORT: WSJ:  The Cold Clinton Reality.
16-10-2028,17:04:59,Heading to New Hampshire. Will be talking about the disaster known as ObamaCare!
16-10-2028,15:53:19,"If my people said the things about me that Podesta &amp; Hillarys people said about her, I would fire them out of self respect. ""Bad instincts"""
16-10-2028,00:14:46,"Join @TeamTrump on Facebook &amp; watch tonights rally from Geneva, Ohio- our 3rd rally of the day. "
16-10-2027,22:37:22,Crooked Hillary launched her political career by letting terrorists off the hook. #DrainTheSwamp
16-10-2027,22:27:20,"""@KeithRowland: People in Arizona just got a taste of Obamacare with a 116% increase in premiums. @realDonaldTrump"" Repeal and replace!"
16-10-2027,22:23:56,I will be interviewed on @oreillyfactor tonight at 8:00 P.M. Enjoy!
16-10-2027,22:05:00,"I delivered a speech in Charlotte, North Carolina yesterday. I appreciate all of the feedback &amp; support. "
16-10-2027,21:07:48,"Join me live in Toledo, Ohio. Time to #DrainTheSwamp &amp; #MAGA!"
16-10-2027,21:02:09,"Join me in Cedar Rapids, Iowa tomorrow at 7:00pm!"
16-10-2027,20:27:44,"#ICYMI: I agree- To all Americans, I see you &amp; I hear you. I am your voice. Vote to #DrainTheSwamp with me on 11/8."
16-10-2027,19:26:05,"Thank you Springfield, Ohio. Get out and #VoteTrumpPence16!"
16-10-2027,17:45:20,"Join me live in Springfield, Ohio!"
16-10-2027,14:49:59,Inside Bill Clinton Inc.۪: Hacked memo reveals intersection of charity and personal income. #DrainTheSwamp!
16-10-2027,14:32:59,"I agree, @MMFlint- To all Americans, I see you &amp; I hear you. I am your voice. Vote to #DrainTheSwamp w/ me on 11/8. "
16-10-2027,14:12:42,"""Clinton Foundation۪s Fundraisers Pressed Donors to Steer Business to Former President"""
16-10-2027,14:10:38,"Ron Fournier: ""Clinton Used Secret Server To Protect #CircleOfEnrichment۝"
16-10-2027,14:08:15,WikiLeaks Drip-Drop Releases Prove One Thing: Theres No Nov. 8 Deadline on Clintons Dishonesty and Scandals
16-10-2027,13:01:12,A lot of call-ins about vote flipping at the voting booths in Texas. People are not happy. BIG lines. What is going on?
16-10-2027,12:17:57,"Obamacare is a disaster. We must REPEAL &amp; REPLACE. Tired of the lies, and want to #DrainTheSwamp? Get out &amp; "
16-10-2027,12:16:35,RT @EricTrump: Tune into @GMA right now to catch a great interview with my father &amp; the entire family! _
16-10-2027,01:57:51,"Beautiful evening in Kinston, North Carolina - thank you! Get out and VOTE!! You can watch tonights rally here."
16-10-2027,01:52:45,"Thank you Charlotte, North Carolina. Great afternoon! #ICYMI - I delivered a speech on urban renewal. "
16-10-2026,21:59:15,Hillary said she was under sniper fire (while surrounded by USSS.) Turned out to be a total lie. She is not fit to_ https://t.co/hBIrGj21l6
16-10-2026,18:49:49,JOIN ME IN OHIO TOMORROW!
16-10-2026,11:02:53,REPEAL AND REPLACE OBAMACARE!
16-10-2025,23:31:58,"Thank you Tallahassee, Florida! A beautiful evening with the MOVEMENT! Get out &amp; VOTE!"
16-10-2025,22:28:43,"Thank you Sanford, Florida. Get out &amp; VOTE #TrumpPence16! #ICYMI- watch this afternoons rally here:"
16-10-2025,22:01:50,"REPEAL AND REPLACE!!!
#ObamaCareInThreeWords"
16-10-2025,21:54:05,I have met &amp; spent a lot of time with families @ The Remembrance Project. I will fight for them everyday
16-10-2025,21:36:51,"Get your ballots in Colorado - I will see you soon -- and we will win!
#MakeAmericaGreatAgain "
16-10-2025,21:03:40,Obama Warned Of Rigged Elections In 2008. Time to #DrainTheSwamp
16-10-2025,20:43:45,"Obamacare is a disaster. Rates going through the sky - ready to explode. I will fix it. Hillary cant!
#ObamacareFailed"
16-10-2025,18:27:06,Truly honored to receive the first ever presidential endorsement from the Bay of Pigs Veterans Association. 
16-10-2025,16:20:43,"Obamacare is a disaster - as Ive been saying from the beginning. Time to repeal &amp; replace!
#ObamacareFail "
16-10-2025,16:10:59,#ObamacareFail 
16-10-2025,15:22:35,Obamacare is a disaster! Time to repeal &amp; replace! #ObamacareFail
16-10-2025,14:44:51,Get out and vote! I am your voice and I will fight for you! We will make America great again! 
16-10-2025,14:39:09,Key Obamacare premiums to jump 25% next year:
16-10-2025,14:33:57,#Obamacare premiums are about to SKYROCKET --- again. Crooked H will only make it worse. We will repeal &amp; replace! 
16-10-2025,14:31:19,"As election looms, some bad news for Clinton, Democrats:"
16-10-2025,01:43:26,"Record crowd in Tampa, Florida- thank you! We will WIN FLORIDA, #DrainTheSwamp in Washington D.C. and MAKE AMERICA."
16-10-2025,01:27:16,Thank you Bobby Bowden for the intro tonight and your support! I hope I can do as well for Florida as you have done! 
16-10-2025,00:33:07,"My contract with the American voter will restore honesty, accountability &amp; CHANGE to Washington! #DrainTheSwamp "
16-10-2024,21:52:36,Peter Navarro: Trump the Bull vs. Clinton the Bear #DrainTheSwamp
16-10-2024,21:50:25,Democratic operative caught on camera: Hillary PERSONALLY ordered Donald Duck troll campaign that broke the law.
16-10-2024,21:15:23,"Join me tomorrow in Sanford or Tallahassee, Florida!"
16-10-2024,20:39:38,"THANK YOU St. Augustine, Florida! Get out and VOTE! Join the MOVEMENT - and lets #DrainTheSwamp! Off to Tampa now!"
16-10-2024,19:01:18,"Join me LIVE on my Facebook page in St. Augustine, Florida! Lets #DrainTheSwamp &amp; MAKE AMERICA GREAT AGAIN!"
16-10-2024,18:30:43,"Honored to receive an endorsement from @SJSOPIO - thank you! Together, we are going to MAKE AMERICA SAFE &amp; GREAT."
16-10-2024,16:37:58,Hillary Clinton Had Gun Control Supporters Planted In Town Hall Audience.
16-10-2024,16:35:59,"Leaving West Palm Beach, Florida now - heading to St. Augustine for a 3pm rally. Will be in Tampa at 7pm - join me."
16-10-2024,16:04:52,The Clinton Foundation۪s Most Questionable Foreign Donations
16-10-2024,15:55:44,"Departing Farmers Round Table in Boynton Beach, Florida. Get out &amp; VOTE- lets #MAGA!
EARLY VOTING BY FL. COUNTY."
16-10-2024,14:46:16,Get out to VOTE on 11/8/2016- and we will #DrainTheSwamp!
16-10-2024,14:17:35,We are winning and the press is refusing to report it. Dont let them fool you- get out and vote! #DrainTheSwamp on November 8th!
16-10-2024,13:05:36,Why has nobody asked Kaine about the horrible views emanated on WikiLeaks about Catholics? Media in the tank for Clinton but Trump will win!
16-10-2024,12:44:29,Major story that the Dems are making up phony polls in order to suppress the the Trump . We are going to WIN!
16-10-2024,12:00:02,"Wow, just came out on secret tape that Crooked Hillary wants to take in as many Syrians as possible. We cannot let this happen - ISIS!"
16-10-2024,02:25:05,Clinton Ally Aided Campaign of FBI Official۪s Wife 
16-10-2024,00:07:47,"Clinton Charity Got Up To $56 Million From Nations That Are Anti-Women, Gays #CrookedHillary"
16-10-2024,00:05:36,"Thank you Naples, Florida! Get out and VOTE #TrumpPence16 on 11/8. Lets #MakeAmericaGreatAgain!"
16-10-2023,23:40:14,The attack on Mosul is turning out to be a total disaster. We gave them months of notice. U.S. is looking so dumb. VOTE TRUMP and WIN AGAIN!
16-10-2023,16:34:32,Remember - get out on November 8th &amp; VOTE #TrumpPence16. It is time to #DrainTheSwamp -- this is our last chance! 
16-10-2023,16:30:03,"Former Prosecutor: The Clintons Are So Corrupt, Everything They Touch Turns To Molten Lead."
16-10-2023,16:23:50,Thank you Las Vegas Review Journal! EDITORIAL: Donald Trump for president 
16-10-2023,14:04:01,"Well, Iran has done it again. Taken two of our people and asking for a fortune for their release. This doesnt happen if Im president!"
16-10-2023,12:53:51,"""If you cant run your own house you certainly cant run the White House"" A statement made by Mrs. Obama about Crooked Hillary Clinton"
16-10-2023,03:00:32,"Thank you for the massive turnout tonight- Cleveland, Ohio! Get out & VOTE #TrumpPence16 on 11/8."
16-10-2023,02:26:32,WikiLeaks: Clinton-Kaine Even Lied About Timing of Veep Pick
16-10-2023,02:21:32,Trump lays out policies for first 100 days in White House
16-10-2023,02:05:01,Huma Abedin told Clinton her secret email account caused problems
16-10-2022,23:08:25,"Just arrived in Cleveland, Ohio- join Governor @Mike_Pence and I now, LIVE "
16-10-2022,21:34:44,"Hillary Clinton: Architect of failure
#DrainTheSwamp #CrookedHillary"
16-10-2022,21:09:56,"Unbelievable crowd of supporters in Virginia Beach, Virginia. Thank you! Next stop - Cleveland, Ohio._ https://t.co/CN3sdX5ft1"
16-10-2022,19:54:40,"In order to #DrainTheSwamp &amp; create a new GOVERNMENT of, by, &amp; for the PEOPLE, I need your VOTE! "
16-10-2022,18:40:31,Today I introduced my Contract with the American Voter - our economy will be STRONG &amp; our people will be SAFE.
16-10-2022,18:18:43,Change has to come from outside our very broken system. 
16-10-2022,17:54:11,Crooked Hillary Clinton Tops Middle East Forum's Islamist Money List
16-10-2022,17:49:56,"Thank you Gettysburg, Pennsylvania! #DrainTheSwamp "
16-10-2022,14:20:56,"Landing in Pennsylvania now. Great new poll this morning, thank you. Lets #DrainTheSwamp and #MakeAmericaGreatAgain"
16-10-2022,14:01:18,"Will be in Cleveland, Ohio w/ @mike_pence tonight."
16-10-2022,11:37:58,"""@AZTRUMPTRAIN: I #Voted for DonaldTrump! #Arizona  #Economy #Immigration #Jobs #Veterans #BorderControl #Trade"
16-10-2022,11:35:18,"""@jensen4law: Best way to pay Hillary back for what she did to @BernieSanders #DNCleak is a DonaldTrump LANDSLIDE "
16-10-2022,03:33:54,The media refuses to talk about the three new national polls that have me in first place. Biggest crowds ever - watch what happens!
16-10-2022,03:23:34,"Just returned from Pennsylvania where we will be bringing back their jobs. Amazing crowd. Will be going back tomorrow, to Gettysburg!"
16-10-2022,02:41:07,"Governor @Mike_Pence and I will be in Cleveland, Ohio tomorrow night at 7pm - join us! "
16-10-2022,00:58:02,"Thank you to the great crowd of supporters in Newtown, Pennsylvania. Get out &amp; VOTE on 11/8/16. "
16-10-2021,22:50:00,#CrookedHillary sending U.S. intelligence info. to Podesta۪s hacked email is unquestionably an OPSEC violations.
16-10-2021,22:46:37,"WikiLeaks reveals Clinton camp۪s work with VERY friendly and malleable reporters۪
#DrainTheSwamp #CrookedHillary"
16-10-2021,22:36:04,Donna Brazile Shreds Obama Economy - Acting DNC chair says people are more in despair about how things are.
16-10-2021,22:30:14,"""{Crooked Hillary Clinton} created this mess, and she knows it.""
#DrainTheSwamp "
16-10-2021,22:14:47,"Clinton Campaign And Harry Reid Worked With New York Times To Smear State Dept Watchdog
Time to #DrainTheSwamp!"
16-10-2021,22:10:57,"VERY IRONIC: ""In 2010 video, Clinton lectured underlings on cybersecurity and guarding sensitive information. "
16-10-2021,21:07:54,"Great crowd in Johnstown, Pennsylvania- thank you. Get out &amp; VOTE on 11/8! Watch the MOVEMENT in PA"
